_id,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population
1,46001,326,13623,5217,2654,9433
2,46011,587,26758,9895,5609,16392
3,46012,634,28383,10463,5920,18671
4,46013,733,26613,10133,5345,15946
5,46016,710,17974,7212,2972,16904
6,46017,185,8545,3223,1733,5411
7,46030,111,4063,1565,812,2881
8,46031,132,2899,1140,575,2460
9,46032,2911,113040,40820,25787,48388
10,46033,2258,87936,31707,20393,36742
11,46034,358,11394,4332,2366,6230
12,46035,40,1325,529,247,1128
13,46036,542,14310,5597,2719,11060
14,46037,2651,98289,36576,21707,39206
15,46038,2281,85053,31885,18545,40687
16,46039,22,702,273,132,494
17,46040,808,29029,11131,6010,11423
18,46041,888,29044,11419,5251,20706
19,46044,84,3894,1493,767,2989
20,46045,Suppressed,Suppressed,Suppressed,Suppressed,39
21,46047,Suppressed,Suppressed,Suppressed,Suppressed,37
22,46048,77,2317,927,408,1964
23,46049,35,947,375,181,1057
24,46050,79,2046,789,410,1968
25,46051,111,3855,1495,762,2672
26,46052,1041,32699,12758,6299,21312
27,46055,757,27616,10445,5785,11656
28,46056,101,3175,1231,646,2092
29,46057,28,1116,424,222,1155
30,46058,44,3228,1212,670,2353
31,46060,1934,76430,29354,15201,38257
32,46062,1883,70623,26670,15011,32921
33,46063,6,366,138,79,521
34,46064,683,29349,11139,6019,16288
35,46065,85,4377,1664,843,3225
36,46068,107,3159,1229,617,2794
37,46069,377,9507,3704,1921,6673
38,46070,75,2789,1064,565,2187
39,46071,176,4054,1635,763,3001
40,46072,337,12397,4717,2476,8052
41,46074,2205,88802,33099,19430,32189
42,46075,438,14183,5405,2992,5817
43,46076,46,1586,625,280,1373
44,46077,2095,75812,27770,17352,27439
45,46103,5,326,127,60,155
46,46104,22,1128,429,228,875
47,46105,92,2145,839,426,1676
48,46106,389,13899,5376,2767,6283
49,46107,601,18110,7010,3491,12301
50,46110,15,691,273,130,562
51,46111,13,345,141,56,189
52,46112,2400,73685,28343,15087,35534
53,46113,801,20519,8236,3676,14667
54,46115,84,2294,893,445,1846
55,46117,21,822,313,167,772
56,46118,192,6216,2429,1205,4833
57,46120,431,6449,2647,1200,5083
58,46121,228,6617,2604,1264,5131
59,46122,730,24538,9512,4757,15305
60,46123,2123,73947,28295,14941,34504
61,46124,220,10006,3907,1774,8526
62,46125,Suppressed,Suppressed,Suppressed,Suppressed,55
63,46126,207,5972,2346,1166,4609
64,46127,Suppressed,464,171,99,287
65,46128,103,2349,934,433,1798
66,46130,108,3205,1247,648,2485
67,46131,1117,47046,18034,9086,31210
68,46133,26,871,336,181,782
69,46135,1124,24186,9461,4681,19584
70,46140,1632,63938,24266,13022,37973
71,46142,1577,53615,20226,11058,27783
72,46143,2740,100506,38627,19675,53551
73,46144,10,192,78,36,133
74,46146,Suppressed,193,75,37,360
75,46147,155,3433,1373,657,3045
76,46148,141,6331,2408,1259,5214
77,46149,88,2568,1018,488,1951
78,46150,24,1054,410,204,1027
79,46151,1568,39798,15512,7869,29577
80,46155,Suppressed,149,57,29,162
81,46156,37,1449,545,295,1203
82,46157,201,4715,1884,890,3650
83,46158,1269,32946,12712,6712,21994
84,46160,204,7596,2892,1482,6021
85,46161,128,3301,1275,648,2457
86,46162,29,768,297,162,314
87,46163,678,23237,8765,4966,12271
88,46164,157,5599,2135,1126,3976
89,46165,42,1852,709,361,1487
90,46166,99,2007,823,355,2062
91,46167,465,11154,4376,2239,6695
92,46168,1739,63680,24305,12485,33226
93,46171,74,2047,813,389,1703
94,46172,125,2569,1022,502,2421
95,46173,294,13383,5077,2657,9485
96,46175,12,537,206,105,566
97,46176,1141,40385,15689,7629,25965
98,46180,35,1160,454,213,912
99,46181,175,6734,2595,1315,4740
100,46182,65,2601,971,534,1453
101,46183,Suppressed,Suppressed,Suppressed,Suppressed,15
102,46184,540,17282,6800,3232,13083
103,46186,49,2009,777,391,1580
104,46201,1726,39799,15717,7236,28653
105,46202,1501,35638,13465,7501,19733
106,46203,1755,47345,18629,8708,35594
107,46204,1015,15205,5998,3023,8270
108,46205,1719,46972,17658,10182,25187
109,46208,1201,33590,12621,7002,21492
110,46214,1397,37104,14543,6720,22906
111,46216,154,4727,1697,1066,2263
112,46217,1568,56777,21945,11073,33893
113,46218,1207,35716,13816,6269,27070
114,46219,1824,54940,20838,11091,34348
115,46220,2349,75320,27296,17559,34302
116,46221,1459,31807,13005,5339,24832
117,46222,2103,45732,18641,7104,34319
118,46224,2427,52798,21408,8520,32887
119,46225,347,8186,3248,1470,5105
120,46226,1751,58008,22359,10382,41785
121,46227,2309,86844,33767,15981,50910
122,46228,788,29741,10885,6407,15193
123,46229,1194,39363,15288,7220,27001
124,46231,538,16736,6595,3115,9562
125,46234,1663,45415,17566,9088,25566
126,46235,1165,41067,16270,6708,30301
127,46236,1557,52063,19315,11215,26838
128,46237,1879,72454,27812,14224,36209
129,46239,1516,49096,19214,9435,27942
130,46240,1110,40632,14845,8876,19206
131,46241,1601,36453,14909,5748,29287
132,46250,957,35171,13060,7497,17537
133,46254,1859,57939,22674,10261,37033
134,46256,1314,44898,16311,10160,22477
135,46259,724,23936,9133,5048,10265
136,46260,1388,60333,22081,12610,31491
137,46268,1129,45755,17184,9166,23602
138,46278,674,20352,7233,4733,8364
